"","Betaproteobacteria","Clostridia","Bacteroidia","Gammaproteobacteria","Actinobacteria","Solibacteres","Alphaproteobacteria","Bacilli","Negativicutes","Flavobacteriia","Erysipelotrichia","Fusobacteriia","Deinococci","Sphingobacteriia","Coriobacteriia","Mollicutes","Melainabacteria","Deltaproteobacteria","Subgroup_6","Epsilonproteobacteria","Synergistia","Verrucomicrobia_Incertae_Sedis","Lentisphaeria","Methanobacteria","Planctomycetacia","Chloroplast","Cytophagia","Thermoplasmata","Thermoleophilia","Blastocatellia","Verrucomicrobiae"
"X215007",0.025935423709057,0.327660566499592,0.595232544585616,0.024245250029140925,0.0003496911061895326,0.0,0.0,0.0023312740412635507,0.01322998018417065,0.0,0.0018650192330108403,0.0015736099778528966,0.0,0.0,0.0006993822123790652,0.0,0.0,5.828185103158876e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068189765706958855
"X215009",0.01649555393272907,0.42519008548477166,0.43940890931741056,0.012672365651445508,0.003952059796383006,0.0,0.00025774303019889173,0.03840371149963486,0.013144894540143478,0.0,0.005713303836075433,0.00017182868679926113,0.0,0.0,0.001073929292495382,0.007302719188968599,0.013402637570342369,0.009235791915460286,0.0,0.0023626444434898405,0.00017182868679926113,0.0,0.00047252888869796813,0.0,0.0,4.2957171699815284e-05,0.0,0.0,0.0,0.0,0.010524507066454745
"X215048",0.05589019452947566,0.4626246667324973,0.37217339784733877,0.02587143280339686,0.0007899674138441789,0.0004937296336526119,0.031401204700306114,0.015503110496692011,0.005134788189987163,0.0,0.0069122148711365655,0.009775846746321714,0.0,0.0007899674138441789,0.0008887133405747013,0.005727263750370297,0.0,0.004246074849412462,0.0,0.0013824429742273132,0.0,0.0,0.0,0.0,0.0002962377801915671,0.0,0.0,0.0,0.0,0.0,9.874592673052236e-05
"X215055",0.004303131723643318,0.506454697585465,0.34030600047812576,0.06293330145828353,0.004721491752330863,0.0,0.0007769543389911546,0.005319148936170213,0.011714080803251255,0.0,0.0133277551996175,0.010399234998804685,0.0,0.00017929715515180492,0.0007769543389911546,0.0,0.0016734401147501792,0.015180492469519484,0.0,0.0004183600286875448,0.0,0.0005378914654554147,0.0004781257470714798,0.00035859431030360985,0.0,0.0,0.0,0.0,0.0,0.0,0.020141047095386087
"X215057",0.0410953715627604,0.48458450117415347,0.3849708355427619,0.0007575183698204682,0.00022725551094614045,0.0,0.02211953639875767,0.001477160821149913,0.006931293083857284,0.0,0.010264373911067343,7.575183698204681e-05,0.0,0.0,0.0005302628588743277,0.0032194530717369898,0.0,0.03295204908719036,0.0,0.0,7.575183698204681e-05,0.0,0.0003408832664192107,0.0004166351034012575,0.0,0.0,0.0,7.575183698204681e-05,0.0,0.0,0.00988561472615711
"X215077",0.019572790612394572,0.5301613494682802,0.37962962962962965,0.006692335900256693,0.003025302530253025,0.0,0.0,0.004262926292629263,0.016455812247891454,0.0,0.016639163916391638,0.00041254125412541255,0.0,0.0,0.0012834616795012834,0.0016043270993766044,0.0001375137513751375,0.004308764209754309,0.0,0.0001375137513751375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015676567656765675
"X222171",0.040532569309850844,0.25971180584815035,0.6676497851183956,0.004634701272436167,0.0009269402544872335,0.0,0.0006741383668998062,0.005898710710373304,0.010112075503497093,0.0,0.0009269402544872335,0.0,0.0,0.0,0.0009269402544872335,0.0,0.0,0.0069941855565854895,0.0,0.0,0.0,0.0,0.0005898710710373304,0.0,0.0,0.0,0.00042133647931237887,0.0,0.0,0.0,0.0
"X224845",0.02817952785294392,0.6710833255575255,0.26943174395819725,0.00956424372492302,0.0013063357282821686,0.0,0.0,0.0013996454231594662,0.013763179994401417,0.0,0.0008864421013343286,0.0012596808808435197,0.0,0.0,9.330969487729775e-05,0.0,0.0,0.003032565083512177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219652",0.009415552736852377,0.6529417504146746,0.2051419650697629,0.0006829934627768562,0.0644453117377305,0.0,0.0,0.0011220606888476925,0.04707776368426188,0.0,0.002048980388330569,4.878524734120402e-05,0.0,0.0,0.0005366377207532443,0.0,0.010635183920382476,0.004390672260708362,0.00014635574202361205,0.0,0.0,0.0,0.0,0.0,0.0,4.878524734120402e-05,0.0,0.0,0.0,0.0,0.0013172016782125086
"X219655",0.016139164049287266,0.8244020294757187,0.13679632761536603,0.002899251026818072,0.0005798502053636144,0.0,4.8320850446967865e-05,0.001111379560280261,0.0023194008214544575,0.0,0.012418458564870742,0.0011597004107272288,0.0,0.0,9.664170089393573e-05,0.0,0.0,0.0007731336071514858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012563421116211645
"X219657",0.0,0.6901283262040998,0.016999055608021778,0.11421587689572801,0.0010554969168379534,0.0,5.555246930726071e-05,0.000944391978223432,0.034498083439808896,0.0,0.1421032164879729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
