"","Burkholderiales","Clostridiales","Bacteroidales","Rhodobacterales","Corynebacteriales","Pseudomonadales","Sphingobacteriales","Sphingomonadales","Lactobacillales","Rhodospirillales","Selenomonadales","Flavobacteriales","Erysipelotrichales","Bacillales","Fusobacteriales","Thermales","Coriobacteriales","Opitutales","Bifidobacteriales","Actinomycetales","Micrococcales","Gastranaerophilales","Desulfovibrionales","Neisseriales","Blastocatellales","Synergistales","Rhizobiales","Nitrospirales","Mollicutes_RF9","Desulfurellales","Thermoanaerobacterales","Victivallales","Propionibacteriales","Streptosporangiales","Xanthomonadales","Caulobacterales","Desulfuromonadales","Alteromonadales","Acidimicrobiales","Candidatus_Falkowbacteria(class)","Chloroplast(class)","Cytophagales","Frankiales","Campylobacterales","Bdellovibrionales","Pasteurellales","Cyanobacteria(phylum)","X35","Enterobacteriales","Subgroup_10","Solirubrobacterales","Verrucomicrobiales","SubsectionII","Methanobacteriales","Oligoflexales"
"X206695",0.006211180124223602,0.2639751552795031,0.13871635610766045,0.0,0.004140786749482402,0.018633540372670808,0.0,0.0,0.028985507246376812,0.018633540372670808,0.019668737060041408,0.0,0.0,0.0010351966873706005,0.009316770186335404,0.0010351966873706005,0.004140786749482402,0.0,0.008281573498964804,0.0,0.009316770186335404,0.0,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051759834368530024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40062111801242234,0.0,0.0,0.0010351966873706005,0.0,0.0,0.0
"X206700",6.633279161553514e-05,0.19996020032503067,0.20277934396869093,0.0,0.0,9.949918742330271e-05,0.0,0.0,0.002918642831083546,0.0,0.07429272660939935,0.0,0.020165168651122684,0.00043116314550097843,0.19200026533116646,0.0,6.633279161553514e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0027528108520447083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002852310039468011,0.0,0.054923551457663096,0.0,0.0,0.2466916520181752,0.0,0.0,0.0,0.0,0.0,0.0
"X206757",0.0,0.28617060485687373,0.496171014374053,0.0,0.0,4.095171792456694e-05,0.0,0.0,0.0100331708915189,0.0,0.1450509848888161,0.0,0.020926327859453704,0.00016380687169826775,4.095171792456694e-05,0.0,8.190343584913388e-05,0.0,0.019861583193414963,0.0,0.0,0.0,4.095171792456694e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.095171792456694e-05,0.0,4.095171792456694e-05,0.0,0.0,0.021335845038699373,0.0,0.0,0.0,0.0,0.0,0.0
"X206701",0.0016907270126154247,0.004812069189751593,0.004421901417609572,0.0,0.0011705033164260631,0.010534529847834569,0.0,0.0,0.0,0.0,0.001040447392378723,0.0013005592404734035,0.0,0.004161789569514892,0.005072181037846274,0.0005202236961893615,0.0,0.0,0.00013005592404734037,0.0,0.0005202236961893615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013005592404734037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9644947327350761,0.0,0.0,0.0,0.0,0.0,0.0
"X206709",0.02065341558144848,0.396435915010281,0.5467671921407357,0.0,0.0,4.569339730408956e-05,0.0,0.0,0.0008224811514736121,0.0,0.009367146447338359,0.0,0.006351382225268449,0.00013708019191226866,0.0005026273703449851,0.0,0.000731094356865433,0.0,9.138679460817912e-05,9.138679460817912e-05,0.0,0.0,0.014119259766963673,0.00013708019191226866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017820424948594928,0.0,0.0,0.001964816084075851,0.0,0.0,0.0,0.0,0.0,0.0
"X206747",5.255136896316149e-05,0.49529665247779703,0.4507330915970361,0.0,0.0,5.255136896316149e-05,0.0,0.0,0.0026275684481580747,0.0,0.008355667665142678,0.0,0.007146986178989963,0.00047296232066845344,0.001996952020600137,0.0,0.00021020547585264595,0.0,0.0006831677965210993,5.255136896316149e-05,0.00010510273792632298,0.0,0.00530768826527931,0.00036785958274213043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010510273792632298,0.0,0.024488937936833256,0.0,0.0,0.001944400651636975,0.0,0.0,0.0,0.0,0.0,0.0
"X206720",0.039314552961379666,0.32248163981146555,0.5787204501443238,0.0,0.0,3.653768862581753e-05,0.0,0.0,0.0010230552815228909,0.0,0.03467426650590084,0.0,0.0023749497606781393,0.00021922613175490518,0.0018999598085425117,0.0,0.0002923015090065402,0.0,0.0006942160838905331,3.653768862581753e-05,0.00010961306587745259,0.0,0.008476743761189667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.653768862581753e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006576783952647156,0.0,0.0,0.008951733713325295,0.0,0.0,0.0,0.0,0.0,0.0
"X206723",0.0,0.13580246913580246,0.037037037037037035,0.0,0.0,0.08641975308641975,0.0,0.0,0.0,0.0,0.0,0.0,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7283950617283951,0.0,0.0,0.0,0.0,0.0,0.0
"X206727",0.06690288413913971,0.5504629100468625,0.29028079399550427,0.0,0.0,3.809959233436202e-05,0.0,0.0,0.0005714938850154304,3.809959233436202e-05,0.003543262087095668,0.0,0.0067055282508477155,7.619918466872404e-05,0.024040842762982437,0.0,0.00026669714634053413,0.0,0.00011429877700308607,3.809959233436202e-05,0.0006476930696841544,0.0,0.009067702975578162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012191869546995847,0.0,0.0,0.045986207947574964,0.0,0.0,0.0,0.0,0.0,0.0
"X206734",0.02375633239986155,0.2041785972751015,0.6810043736823889,0.0,0.0,3.1465340926968945e-05,0.0,0.0,9.439602278090684e-05,0.0,0.002643088637865391,0.0,0.0006293068185393789,6.293068185393789e-05,0.008432711368427676,0.0,0.0008495642050281615,0.0,3.1465340926968945e-05,0.0,0.0,0.0,0.0,0.0015418017054214782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1465340926968945e-05,0.0,0.0,0.07671250117995028,0.0,0.0,0.0,0.0,0.0,0.0
"X206751",3.933291378225299e-05,0.46471837633731905,0.4758495909376967,0.0,0.0,0.00015733165512901197,0.0,0.0,0.00031466331025802394,3.933291378225299e-05,0.021790434235368156,0.0,0.006529263687853996,7.866582756450598e-05,0.0,0.0,0.00015733165512901197,0.0,0.0,3.933291378225299e-05,0.0,0.0,0.016991818753933293,0.0,0.0,0.0,0.0,0.0,3.933291378225299e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.933291378225299e-05,0.0,0.0022813089993706736,0.0,0.0,0.01065921963499056,0.0,0.0,0.00011799874134675897,0.0,0.00015733165512901197,0.0
"X206755",0.05394375303054792,0.4793922741231615,0.40835623080652983,0.0,0.0,4.0407305640859865e-05,0.0,0.0,0.002141587198965573,0.00016162922256343946,0.021577501212219168,0.0,0.005091320510748344,0.00020203652820429934,0.00016162922256343946,0.0,0.0003232584451268789,0.0,0.00016162922256343946,4.0407305640859865e-05,0.0,0.0,0.014102149668660094,0.00016162922256343946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031921771456279295,0.0,0.0,0.0016566995312752547,0.0,0.0,0.00929368029739777,0.0,0.0,0.0
"X206767",0.00017207261464337952,0.2987180590209068,0.5181966789985374,0.0,0.0,0.00017207261464337952,0.0,0.0011184719951819668,0.0040437064441194185,0.0,0.018927987610771746,0.0,0.004387851673406177,0.00034414522928675903,0.029596489718661276,0.0,8.603630732168976e-05,0.0,0.0009463993805385873,8.603630732168976e-05,0.0,0.0,0.004215779058762798,0.009033812268777424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034414522928675903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009636066420029253,0.0,0.0,0.0999741891078035,0.0,0.0,0.0,0.0,0.0,0.0
"X206769",0.0,0.01845018450184502,0.014760147601476014,0.0,0.0,0.09040590405904059,0.0,0.005535055350553505,0.08487084870848709,0.0,0.02029520295202952,0.0,0.0,0.046125461254612546,0.0,0.0,0.0,0.0,0.0,0.04797047970479705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00922509225092251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6328413284132841,0.0,0.0,0.02952029520295203,0.0,0.0,0.0,0.0,0.0,0.0
"X224328",0.03371173030615755,0.3416657111187555,0.4832396896380384,0.0,0.0,3.8221916446890644e-05,0.0,0.0,0.0004968849138095784,0.0,0.002599090318388564,0.0,0.00886748461567863,3.8221916446890644e-05,0.00015288766578756258,0.0,0.0,0.0,0.008714596949891068,0.0,0.0,0.0,0.003478194396667049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8221916446890644e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026870007262164125,0.0,0.0,0.09008905706532125,0.0,0.0,0.0,0.0,0.0,0.0
"X206538",0.1288016341352701,0.18043576940535633,0.4417839310031775,0.0,0.0,0.00011348161597821153,0.0,0.0,0.010213345438039038,0.0,0.028597367226509306,0.0,0.006014525646845211,0.0037448933272809805,0.04005901044030867,0.0,0.0013617793917385383,0.0,0.001702224239673173,0.0011348161597821154,0.0,0.0,0.007943713118474808,0.0,0.0,0.0,0.0,0.00022696323195642307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014752610077167498,0.0,0.0,0.0,0.0,0.025192918747162958,0.0,0.0,0.12119836586472992,0.0,0.0,0.0,0.0,0.0,0.0
"X215050",0.03845173351461591,0.43053195105370495,0.37754928619986405,0.0,0.0002549286199864038,0.0,0.0,0.0,0.0222212780421482,0.0,0.01856730115567641,0.0,0.007010537049626104,8.49762066621346e-05,0.0,0.0,0.007138001359619306,0.0,0.04847892590074779,0.0001274643099932019,0.0,0.0,0.006203263086335826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003399048266485384,0.0,0.0007647858599592114,0.0,0.0,0.04227566281441197,0.0,0.0,0.0,0.0,0.0,0.0
"X206548",0.0006963788300835655,0.44823584029712166,0.0127669452181987,0.0,0.001160631383472609,0.001160631383472609,0.00023212627669452182,0.0,0.011838440111420613,0.0,0.028783658310120707,0.0,0.019730733519034354,0.003481894150417827,0.011142061281337047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023212627669452182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00046425255338904364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002321262766945218,0.0,0.11559888579387187,0.0006963788300835655,0.0,0.3414577530176416,0.0,0.0,0.0,0.0,0.0,0.0
"X206562",0.01930173147885325,0.5890576213454443,0.28704229349985805,0.0,0.0,0.0005676979846721544,0.0,0.0,0.008018734033494181,0.022707919386886176,0.011353959693443088,0.0,0.0010644337212602896,0.0,0.0,0.0,0.0004257734885041158,0.0,0.0,7.09622480840193e-05,0.0,0.0444933295486801,0.013908600624467783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001419244961680386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.09622480840193e-05,0.0,0.0,0.0017030939540164632,0.0,0.0,7.09622480840193e-05,0.0,0.0,0.0
"X206561",0.02025258846285129,0.528046421663443,0.3537376265786779,0.0,0.0,0.0,0.0,0.0,0.005688929343497554,0.013653430424394129,0.03299579019228581,0.0,0.0010240072818295596,0.00022755717373990216,0.0,0.0,0.0,0.0,0.00022755717373990216,0.0,0.0,0.014904994879963591,0.027306860848788257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019342359767891683,0.0,0.0,0.0,0.0,0.0,0.0
"X206570",0.011101413859312272,0.3545470413684762,0.2620701693140164,0.0,0.0,6.98202129516495e-05,0.0,0.0,0.0017105952173154127,0.2143829638680398,0.010926863326933147,0.0,0.0008029324489439693,0.000279280851806598,0.000279280851806598,0.0,0.0,0.0,0.0002094606388549485,3.491010647582475e-05,3.491010647582475e-05,0.012602548437772735,0.014941525571652993,6.98202129516495e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.491010647582475e-05,0.00034910106475824753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000139640425903299,0.0,0.0017105952173154127,0.0,0.0,0.0,0.0,0.0,0.11370221679176122,0.0,0.0,0.0
"X206605",0.2284422578286018,0.3924606076723622,0.2824280300511934,0.0,0.0001994548234824812,0.002459942822950602,0.0,0.0,0.0007313343527690978,0.0,0.011435409879662257,6.648494116082707e-05,0.007313343527690978,0.0,0.005052855528222857,0.0,0.0007978192939299248,0.0,0.0,0.0,0.0,0.0,0.01775147928994083,0.0002659397646433083,0.0,0.0,0.0,0.0,0.0,0.0,0.0005983644704474437,0.0,0.0,0.0,6.648494116082707e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010637590585732331,0.0,0.01156837976198391,0.0,0.0,0.037098597167741505,0.0,0.0,0.0001994548234824812,0.0,0.0,0.0
"X206609",0.02196395154141633,0.3517187038313799,0.5267408647690338,0.0,0.00019698611247907023,0.002560819462227913,0.0,0.0,0.0005909583374372107,0.0,0.002659312518467448,0.0,0.014379986210972126,0.00039397222495814047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05850487540628386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029547916871860535,0.0,0.006205062543090712,0.0,0.0,0.009849305623953511,0.0,0.0,0.003939722249581405,0.0,0.0,0.0
"X215085",0.019553072625698324,0.26303538175046554,0.5863594040968343,0.00558659217877095,0.007914338919925512,0.0,0.0,0.0016294227188081937,0.022579143389199256,0.0,0.015595903165735567,0.0,0.01303538175046555,0.00861266294227188,0.0,0.0,0.0,0.0,0.0,0.0,0.0074487895716946,0.0,0.023277467411545624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016294227188081937,0.0,0.0,0.0,0.0,0.003026070763500931,0.0013966480446927375,0.0,0.0004655493482309125,0.0,0.007681564245810056,0.0,0.0,0.0,0.0,0.0,0.0111731843575419,0.0,0.0,0.0,0.0,0.0,0.0
"X214995",0.03465598013207654,0.38776316532144267,0.49240842129028617,0.0,0.0,0.0004515437150759158,0.0005079866794604052,0.00011288592876897895,0.023085172433256196,5.6442964384489474e-05,0.025230005079866794,0.00011288592876897895,0.01738443303042276,0.0009030874301518316,0.004007450471298753,0.0,0.0,0.0,0.00016932889315346842,0.0002257718575379579,0.01061127730428402,0.0,0.0,5.6442964384489474e-05,0.0,0.0,0.00016932889315346842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00033865778630693685,0.0,0.0,0.0,0.0,0.0,0.0,0.0002257718575379579,0.0,0.0003951007506914263,0.0,0.0007337585369983631,0.0,0.0,0.00028221482192244734,0.00011288592876897895,0.0,0.0,0.0,0.0,0.0
"X215075",0.00644244914523411,0.472480089281185,0.45670369806726524,0.0,5.072794602546543e-05,0.0,0.0,0.0,0.007304824227667022,0.0,0.004666971034342819,0.0,0.0012174707046111702,0.0015218383807639629,0.000355095622178258,0.0,0.000355095622178258,0.0,0.0011160148125602394,0.00030436767615279255,0.0005580074062801197,0.0,0.0009131030284583778,0.00010145589205093085,0.0,0.0,5.072794602546543e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015218383807639628,0.0,0.04484350428651144,0.0,0.0,0.0008623750824329122,0.0,0.0,0.0,0.0,0.0,0.0
"X219633",0.0073937153419593345,0.8170671595810228,0.14041897720271104,0.0004313000616142945,0.00012322858903265557,0.0007393715341959334,0.0,0.0,0.009365372766481824,0.0,0.0022797288971041284,0.0,0.015095502156500308,0.0007393715341959334,0.00018484288354898336,0.0,0.00030807147258163895,0.0,0.00030807147258163895,6.161429451632779e-05,0.0,0.0,0.0036968576709796672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004929143561306223,0.0,0.0,0.0012939001848428836,0.0,0.0,0.0,0.0,0.0,0.0
"X219637",0.0,0.1375,0.0,0.0,0.0,0.0,0.2875,0.1375,0.0,0.025,0.0,0.1625,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.05,0.0375,0.0,0.0,0.0,0.0,0.0,0.0375
"X219654",0.012455191688437936,0.5780424084087733,0.17406889847499848,0.0,0.013123519047329729,0.0004860562610122122,0.0,0.00036454219575915913,0.0012151406525305304,0.0,0.05237256212406586,0.0028555805334467463,0.010085667416003403,0.0008505984567713713,0.005285861838507808,0.0,0.0009113554893978978,0.0,0.0007290843915183183,0.0,0.00042529922838568566,0.0,0.01780181055957227,0.002491038337687587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002551795370314114,0.0,0.0,0.013123519047329729,0.0,0.0,0.09745428033294853,0.0,0.013305790145209308,0.0
"X219693",0.000962000962000962,0.823953823953824,0.04737854737854738,0.0,0.0,0.0013227513227513227,0.00012025012025012025,0.0,0.047619047619047616,0.0,0.020803270803270803,0.000962000962000962,0.022005772005772004,0.0012025012025012026,0.0,0.00012025012025012025,0.0027657527657527657,0.0,0.0,0.0,0.0007215007215007215,0.0,0.025372775372775373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002886002886002886,0.0,0.0,0.0018037518037518038,0.0,0.0,0.0,0.0,0.0,0.0
"X219668",0.016,0.3664,0.0144,0.0,0.0,0.0192,0.0,0.0,0.0688,0.0,0.0304,0.0,0.024,0.0016,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.272,0.0,0.0,0.1824,0.0,0.0,0.0016,0.0,0.0,0.0
