"","Rhodospirillales","Burkholderiales","Clostridiales","Bacteroidales","Rhodobacterales","Corynebacteriales","Pseudomonadales","JG30_KF_CM66(class)","Solibacterales","Gaiellales","Flavobacteriales","Sphingobacteriales","Sphingomonadales","Micrococcales","Lactobacillales","Selenomonadales","Erysipelotrichales","Bacillales","Fusobacteriales","Thermales","Coriobacteriales","Fibrobacterales","Opitutales","Bifidobacteriales","Chloroflexales","Actinomycetales","Caulobacterales","Rhizobiales","Spirochaetales","Acidimicrobiales","Pseudonocardiales","Gastranaerophilales","Desulfovibrionales","Neisseriales","Blastocatellales","Subgroup_6(class)","Synergistales","Nitrospirales","Mollicutes_RF9","Caldilineales","Planctomycetales","Desulfurellales","WCHA1_57(class)","Chthoniobacterales","Thermoanaerobacterales","OPB35_soil_group(class)","Tectomicrobia(phylum)","Victivallales","Propionibacteriales","Methanobacteriales","Bdellovibrionales","Streptosporangiales","Xanthomonadales","Desulfuromonadales","Unknown_Order","Alteromonadales","Candidatus_Falkowbacteria(class)","Chloroplast(class)","Cytophagales","Frankiales","Gitt_GS_136(class)","Campylobacterales","Pasteurellales","Cyanobacteria(phylum)","NB1_j","X35","Enterobacteriales","Myxococcales","Subgroup_10","Methylophilales","Oligosphaerales","Solirubrobacterales","KD4_96(class)","Verrucomicrobiales","SubsectionII","Aeromonadales","Cellvibrionales","UA11(class)","Lineage_IIb","Oligoflexales","Lineage_IIc"
"X206656",0.0,0.001152073732718894,0.5241935483870968,0.27419354838709675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02534562211981567,0.07142857142857142,0.0,0.0293778801843318,0.0034562211981566822,0.0017281105990783411,0.0,0.0,0.0,0.0,0.0017281105990783411,0.0,0.0,0.0,0.0,0.0,0.0,0.02304147465437788,0.0,0.0,0.0,0.0,0.010944700460829493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034562211981566822,0.0,0.0,0.0,0.0,0.0,0.008640552995391706,0.0,0.0,0.0,0.01728110599078341,0.0,0.0,0.0,0.0,0.0,0.0,0.004032258064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206655",0.014102564102564103,0.011538461538461539,0.7123931623931624,0.2076923076923077,0.0,0.0,0.006837606837606838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00811965811965812,0.019658119658119658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005555555555555556,0.002136752136752137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.00042735042735042735,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206659",0.0014966522252855454,0.028830248129184718,0.33934619929105947,0.27034265458842066,0.0,0.0014966522252855454,0.00015754233950374162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008901142181961402,0.27483261126427727,0.007483261126427727,0.0,0.008349743993698306,0.0,0.0005513981882630957,0.0,0.0,0.0007089405277668373,0.0,0.0005513981882630957,0.00031508467900748325,0.0,0.0,0.0,0.0,0.004017329657345412,0.028200078771169753,0.0,0.0,0.0,0.009452540370224497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014021268215833006,0.0,0.0,0.0,0.0,0.0,0.0,0.0009452540370224497,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206660",0.0014051287198273699,0.03588096552416319,0.15581873839514226,0.4278616951874341,0.0,5.018316856526321e-05,0.0,0.0,0.0,0.0,0.0,5.018316856526321e-05,0.0,0.0,0.00015054950569578964,0.3186631203894214,0.0005018316856526321,0.00010036633713052642,0.019671802077583178,0.0,0.0,0.0,0.0,0.0004516485170873689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011542128770010538,0.01565714859236212,0.0,0.0,0.0,0.0023084257540021075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020073267426105285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011592311938575801,0.0,0.0,0.0,0.0,0.0,0.0,0.008480955487529482,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206667",0.0,0.01571578245547195,0.4114677588341747,0.5158586532050672,0.0,0.0,0.003428897990284789,0.0,0.0,0.0,0.0,0.0,0.0,0.0005714829983807982,0.014953805124297552,0.01247737879798076,0.003428897990284789,0.0011429659967615963,0.0036193923230783886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008572244975711972,9.524716639679969e-05,0.0,0.0,0.0,0.0,0.007810267644537575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002857414991903991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002476426326316792,0.0,0.0,0.0,0.005333841318220783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004762358319839985
"X206668",0.0,0.029556650246305417,0.3645320197044335,0.39080459770114945,0.014778325123152709,0.042692939244663386,0.026272577996715927,0.0,0.0,0.0,0.0,0.0,0.0016420361247947454,0.054187192118226604,0.0,0.0,0.0,0.024630541871921183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016420361247947454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049261083743842365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04433497536945813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206671",0.0,0.00012641425952847481,0.20213640098603122,0.6000252828519057,0.0,0.0,0.0013273497250489855,0.0,0.0,0.0,0.0,0.00031603564882118704,0.0,0.0,0.0072688199228873015,0.04184311990392516,0.0,0.00025282851905694963,0.01902534605903546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006763162884773403,0.0,0.0,0.0,0.12059920359016497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031603564882118704,0.0,0.0,0.0,0.0
"X206672",0.001145475372279496,0.0002643404705260375,0.19006079830822098,0.49325931800158607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008811349017534585,0.0007930214115781126,0.0055511498810467885,0.025200458190148912,8.811349017534584e-05,8.811349017534584e-05,0.014714952859282756,0.0,0.0,0.0,0.0,0.0002643404705260375,0.0,0.0,0.0,0.001674156313331571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006167944312274209,0.0,0.0,0.0,0.0,0.0,0.0001762269803506917,0.0,0.00105736188210415,0.0,0.0,0.008106441096131818,0.0,0.0,0.0,0.25517666754780155,0.0,0.0,0.0,0.0,0.0008811349017534585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206673",0.0,0.026455395783889432,0.37561077760714784,0.47410302945693145,0.0,0.00020940946530783192,0.00013960631020522128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009632835404160269,0.027711852575736422,0.006631299734748011,0.00041881893061566385,0.0,0.0,0.0009074410163339383,0.0,0.0,0.0003490157755130532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.980315510261064e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005584252408208851,0.0,0.0,0.0,0.0,0.0,0.0,0.07720228954348736,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206681",0.0,0.0,0.6493268053855569,0.14687882496940025,0.0,0.0,0.02876376988984088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11260709914320685,0.019583843329253364,0.0,0.0,0.0,0.014075887392900856,0.0,0.0,0.006731946144430845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018359853121175031,0.0,0.0,0.0,0.020195838433292534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206682",0.0,0.007334963325183374,0.6332518337408313,0.07334963325183375,0.0,0.009779951100244499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04156479217603912,0.14180929095354522,0.009779951100244499,0.0,0.0,0.0,0.014669926650366748,0.0,0.02444987775061125,0.004889975550122249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014669926650366748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022004889975550123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206695",0.018633540372670808,0.006211180124223602,0.2639751552795031,0.13871635610766045,0.0,0.004140786749482402,0.018633540372670808,0.0,0.0,0.0,0.0,0.0,0.0,0.009316770186335404,0.028985507246376812,0.019668737060041408,0.0,0.0010351966873706005,0.009316770186335404,0.0010351966873706005,0.004140786749482402,0.0,0.0,0.008281573498964804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051759834368530024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40062111801242234,0.0,0.0,0.0,0.0,0.0,0.0,0.0010351966873706005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206700",0.0,6.633279161553514e-05,0.19996020032503067,0.20277934396869093,0.0,0.0,9.949918742330271e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002918642831083546,0.07429272660939935,0.020165168651122684,0.00043116314550097843,0.19200026533116646,0.0,6.633279161553514e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027528108520447083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002852310039468011,0.054923551457663096,0.0,0.0,0.0,0.2466916520181752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206757",0.0,0.0,0.28617060485687373,0.496171014374053,0.0,0.0,4.095171792456694e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0100331708915189,0.1450509848888161,0.020926327859453704,0.00016380687169826775,4.095171792456694e-05,0.0,8.190343584913388e-05,0.0,0.0,0.019861583193414963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.095171792456694e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.095171792456694e-05,4.095171792456694e-05,0.0,0.0,0.0,0.021335845038699373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206758",0.0,0.0,0.3386491221797118,0.4380519898451747,0.0,0.0,0.0002145385633067544,0.0,0.0,0.0,0.0,0.0,0.0,3.57564272177924e-05,0.013051095934494225,0.1571494976221976,0.015267994421997354,0.0016805520792362427,0.0002502949905245468,0.0,0.0005005899810490936,0.0,0.0,0.013337147352236565,0.0,0.0002502949905245468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57564272177924e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57564272177924e-05,0.00017878213608896198,0.0,0.0,0.0,0.02131083062180427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206702",0.0,0.0005357908272610373,0.0013394770681525933,0.0030004286326618087,0.0,0.0,0.0004286326618088298,0.0,0.0,0.0,0.0009644234890698671,0.0,0.0,0.0,0.0003750535790827261,0.0,0.0003214744963566224,0.000589369909987141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.357908272610373e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009108444063437634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9914809258465495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206701",0.0,0.0016907270126154247,0.004812069189751593,0.004421901417609572,0.0,0.0011705033164260631,0.010534529847834569,0.0,0.0,0.0,0.0013005592404734035,0.0,0.0,0.0005202236961893615,0.0,0.001040447392378723,0.0,0.004161789569514892,0.005072181037846274,0.0005202236961893615,0.0,0.0,0.0,0.00013005592404734037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013005592404734037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9644947327350761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206708",0.0,0.0036028617015801123,0.623552421637758,0.32734572031499304,0.0,0.00030881671727829536,5.146945287971589e-05,0.0,0.0,0.0,0.0,0.0002573472643985794,0.0,0.0,0.0026764115497452264,0.005249884193731021,0.02954346595295692,0.0005146945287971588,0.0011323279633537494,0.0,0.0005146945287971588,0.0,0.0,5.146945287971589e-05,0.0,0.0006691028874363066,0.0,0.0,0.0,0.0,0.0,0.0,0.001904369756549488,0.00030881671727829536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013382057748726132,0.0,0.0,0.0,0.0009779196047146018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206709",0.0,0.02065341558144848,0.396435915010281,0.5467671921407357,0.0,0.0,4.569339730408956e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008224811514736121,0.009367146447338359,0.006351382225268449,0.00013708019191226866,0.0005026273703449851,0.0,0.000731094356865433,0.0,0.0,9.138679460817912e-05,0.0,9.138679460817912e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.014119259766963673,0.00013708019191226866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017820424948594928,0.0,0.0,0.0,0.001964816084075851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206746",0.0,8.203445447087777e-05,0.5054552912223134,0.4126743232157506,0.0,0.0,4.1017227235438884e-05,0.0,0.0,0.0,0.0,0.0,4.1017227235438884e-05,0.00012305168170631667,0.0064807219031993435,0.014602132895816243,0.013412633305988516,0.0009433962264150943,0.001435602953240361,0.0,0.0002871205906480722,0.0,0.0,0.0005742411812961444,0.0,0.00012305168170631667,0.0,0.0,0.0,0.0,0.0,0.0,0.007916324856439705,0.0004922067268252667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1017227235438884e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012305168170631667,0.031214109926168992,0.0,0.0,0.0,0.0037735849056603774,0.0,0.0,0.0,0.0,0.0,0.0,0.00016406890894175554,0.0,0.0,0.0,0.0,0.0,0.0,0.0
